TAXA_PC,Taxa,traits,current_model,clockmodel,medianRate,varianceRate
TAXA_32_PCs_10,32,10,ULNC_FBD_skyline_age_uncertainty,ULNC,3.199638706118681e-4,6.264211357469743e-7
TAXA_32_PCs_10,32,10,ULNC_FBD_skyline,ULNC,3.365414203997594e-4,7.052754522665535e-7
TAXA_32_PCs_2,32,2,FBD_constant_rate_age_uncertainty,nCat,0.007671441122613467,0.006661411334028753
TAXA_32_PCs_2,32,2,FBD_constant_rate_age_uncertainty_woffset,nCat,0.008215322208672885,8.363774145702871e-5
TAXA_32_PCs_2,32,2,FBD_constant_rates,nCat,0.00202634277454016,0.0023528309693740274
TAXA_32_PCs_2,32,2,FBD_skyline_age_uncertainty,nCat,0.007068986694598638,0.0067881006991253965
TAXA_32_PCs_2,32,2,FBD_skyline,nCat,5.068172399313019e-4,0.00616694968237348
TAXA_32_PCs_2,32,2,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.004993753501203826,3.610151288186451e-4
TAXA_32_PCs_2,32,2,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.011796214727172984,8.64550916314683e-4
TAXA_32_PCs_2,32,2,ULNC_FBD_constant_rates,ULNC,0.005083649994665698,3.7182110724212733e-4
TAXA_32_PCs_2,32,2,ULNC_FBD_skyline_age_uncertainty,ULNC,0.004282729474924921,2.907186318161479e-4
TAXA_32_PCs_2,32,2,ULNC_FBD_skyline,ULNC,0.004678237941417054,3.5395134448682706e-4
TAXA_32_PCs_20,32,20,FBD_constant_rate_age_uncertainty,nCat,2.4701104313209816e-5,9.030663048051785e-5
TAXA_32_PCs_20,32,20,FBD_constant_rate_age_uncertainty_woffset,nCat,2.2922040233484545e-5,2.647548832661452e-4
TAXA_32_PCs_20,32,20,FBD_constant_rates,nCat,2.415609832590628e-5,6.814491879478211e-5
TAXA_32_PCs_20,32,20,FBD_skyline_age_uncertainty,nCat,1.9666927622122768e-4,1.7856214749387183e-4
TAXA_32_PCs_20,32,20,FBD_skyline,nCat,1.7784995842587843e-5,1.9634224203126692e-4
TAXA_32_PCs_20,32,20,ULNC_FBD_constant_rate_age_uncertainty,ULNC,5.9015582469387355e-5,1.2396981252047843e-8
TAXA_32_PCs_20,32,20,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,1.678065142698311e-4,1.1200636442465539e-7
TAXA_32_PCs_20,32,20,ULNC_FBD_constant_rates,ULNC,5.704274878582082e-5,1.1884114582937573e-8
TAXA_32_PCs_20,32,20,ULNC_FBD_skyline_age_uncertainty,ULNC,6.253336570660183e-5,1.572968994823917e-8
TAXA_32_PCs_20,32,20,ULNC_FBD_skyline,ULNC,6.645744174023463e-5,1.8465914180047623e-8
TAXA_32_PCs_3,32,3,FBD_constant_rate_age_uncertainty,nCat,0.003963629197573145,0.0010882783617856395
TAXA_32_PCs_3,32,3,FBD_constant_rate_age_uncertainty_woffset,nCat,0.0044205555998505335,0.0014321226092828127
TAXA_32_PCs_3,32,3,FBD_constant_rates,nCat,0.002400005977607985,0.0018980496629404037
TAXA_32_PCs_3,32,3,FBD_skyline_age_uncertainty,nCat,0.0016956221829205413,2.2343585953208084e-4
TAXA_32_PCs_3,32,3,FBD_skyline,nCat,0.0019855662895973906,8.856551704766605e-5
TAXA_32_PCs_3,32,3,ULNC_FBD_constant_rate_age_uncertainty,ULNC,0.0032204046219690154,6.542947224530516e-5
TAXA_32_PCs_3,32,3,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.005798534190852615,5.5139669924313535e-5
TAXA_32_PCs_3,32,3,ULNC_FBD_constant_rates,ULNC,0.00330784813043453,7.041715841956455e-5
TAXA_32_PCs_3,32,3,ULNC_FBD_skyline_age_uncertainty,ULNC,0.0024020389746378648,4.901449225582078e-5
TAXA_32_PCs_3,32,3,ULNC_FBD_skyline,ULNC,0.002666561246429921,6.138630836588889e-5
TAXA_32_PCs_44,32,44,FBD_constant_rate_age_uncertainty,nCat,3.818232366558123e-7,4.883975328095742e-6
TAXA_32_PCs_44,32,44,FBD_constant_rates,nCat,7.388306265790102e-7,1.8185229975286857e-6
TAXA_32_PCs_44,32,44,FBD_skyline,nCat,9.366164694520693e-7,8.523510060341051e-6
TAXA_32_PCs_44,32,44,ULNC_FBD_constant_rate_age_uncertainty,ULNC,1.0580193691552338e-6,2.166292865725706e-12
TAXA_32_PCs_44,32,44,ULNC_FBD_constant_rates,ULNC,1.0486468959109418e-6,2.122330431776281e-12
TAXA_32_PCs_44,32,44,ULNC_FBD_skyline_age_uncertainty,ULNC,1.8058807063713215e-6,6.375770862454723e-12
TAXA_32_PCs_44,32,44,ULNC_FBD_skyline,ULNC,1.8760281391261567e-6,6.387417393820958e-12
TAXA_32_PCs_6,32,6,FBD_constant_rate_age_uncertainty,nCat,0.001644281865587215,0.001345637183175746
TAXA_32_PCs_6,32,6,FBD_constant_rates,nCat,0.0020352858554512705,0.0016931025369522955
TAXA_32_PCs_6,32,6,FBD_skyline_age_uncertainty,nCat,4.5163521423417617e-4,5.184995144317866e-5
TAXA_32_PCs_6,32,6,FBD_skyline,nCat,2.5014125702762163e-4,0.0012590747193108162
TAXA_32_PCs_6,32,6,ULNC_FBD_constant_rate_age_uncertainty,ULNC,7.193701075976355e-4,2.7560807316763925e-6
TAXA_32_PCs_6,32,6,ULNC_FBD_constant_rate_age_uncertainty_woffset,ULNC,0.0017314117201859725,9.69826438659277e-6
TAXA_32_PCs_6,32,6,ULNC_FBD_constant_rates,ULNC,7.809658821630475e-4,3.1571119703022847e-6
