row_ID,Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax,Event
23,TS1,Cres,GBS,RobinHoodsCave,Jacobi2004,AR,D,TS1_Cres_GBS_RobinHoodsCave_Jacobi2004_AR_d_1,TS1_Cres_GBS_RobinHoodsCave_Jacobi2004_AR_d_1_pseudo_no_1,0.014919,1,1,-1.184218,53.261729,5.91,1.44,6.4,12.75,5.91,2.31,0.09,0.087477308119986,2.16030040124306,2.24777770936304,0.038917241574023,14463,14122,14805,GI-1
24,TS1,EAzil,CH,HauteriveChampreveyres,Leeschetal2004,AR,D,TS1_EAzil_CH_HauteriveChampreveyres_Leeschetal2004_AR_d_1,TS1_EAzil_CH_HauteriveChampreveyres_Leeschetal2004_AR_d_1_pseudo_no_10,0.023803,1,1,6.971148,47.007249,1.88,0.86,1.06,4.5,1.9,3.31,0.26,0.427913924456116,2.40086124564154,2.82877517009765,0.151271804482554,14452,13802,15056,GI-1
25,TS12,EAzil,SWF,Imperatrice,Naudinotetal2017u2018,AR,D,TS12_EAzil_SWF_Imperatrice_Naudinotetal2017u2018_AR_d_1,TS12_EAzil_SWF_Imperatrice_Naudinotetal2017u2018_AR_d_1_pseudo_no_8,0.029069,1,2,-4.375583,48.389083,4.15,1.24,3.76,9.13,4.15,2.59,0.14,0.411141907554669,2.17194348572772,2.58308539328239,0.159166982486871,14409,13808,14825,GI-1
26,TS1,Ham,NG,Meiendorf,Rust1937,AR,D,TS1_Ham_NG_Meiendorf_Rust1937_AR_d_1,TS1_Ham_NG_Meiendorf_Rust1937_AR_d_1_pseudo_no_6,0.027775,1,1,10.176,53.626,4.7,1.49,4.91,10.71,4.7,2.63,0.14,0.538992273133885,2.19761227455156,2.73660454768544,0.196956580222653,14367,13613,14959,GI-1
27,TS1,UMag,NF,EtiollesQ31,ChristensenValentin2004,AR,D,TS1_UMag_NF_EtiollesQ31_ChristensenValentin2004_AR_d_1,TS1_UMag_NF_EtiollesQ31_ChristensenValentin2004_AR_d_1_pseudo_no_3,0.027387,1,1,2.46553869365135,48.6331090800784,2.03,0.52,0.95,4.58,2.03,2.45,0.12,0.183443671561886,2.13142498072249,2.31486865228438,0.079245823032274,14293,14112,14787,GI-1
28,TS1,Ham,PL,Mirkowice33,ChlodnickiKabacinski1997,AR,NA,TS1_Ham_PL_Mirkowice33_ChlodnickiKabacinski1997_AR_na_2,TS1_Ham_PL_Mirkowice33_ChlodnickiKabacinski1997_AR_na_2_pseudo_no_1,0.005068,1,1,17.4056351347,52.7735220745,3.93,1.45,3.62,9.02,3.93,2.92,0.18,0.28349381410058,2.28170449617112,2.5651983102717,0.110515359754214,14266,14084,14780,GI-1
29,TS1,TransMag,SG,ZigeunerfelsFG,HornauerJahnkeNoack2019,AR,D,TS1_TransMag_SG_ZigeunerfelsFG_HornauerJahnkeNoack2019_AR_d_1,TS1_TransMag_SG_ZigeunerfelsFG_HornauerJahnkeNoack2019_AR_d_1_pseudo_no_1,NA,1,1,9.159282,48.087509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14238,13815,14804,GI-1
30,TS1,Cres,GBS,KentsCavern,Bartonetal2003,AR,D,TS1_Cres_GBS_KentsCavern_Bartonetal2003_AR_d_1,TS1_Cres_GBS_KentsCavern_Bartonetal2003_AR_d_1_pseudo_no_5,0.021233,1,1,-3.501791,50.467148,5.22,1.36,5.24,11.41,5.22,2.47,0.12,0.607817730530526,2.09967208283648,2.70748981336701,0.224494927932767,14226,13488,14824,GI-1
31,TS1,UMag,IBA,LapadosCoelhos4,Gameiroetal2020,AR,NA,TS1_UMag_IBA_LapadosCoelhos4_Gameiroetal2020_AR__pseudo,TS1_UMag_IBA_LapadosCoelhos4_Gameiroetal2020_AR__pseudo_no_1,NA,1,1,-8.6154,39.5046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14167,14064,14241,GI-1
32,TS1,Cres,GBS,ThreeHolesCave,BartonRoberts1996,AR,NA,TS1_Cres_GBS_ThreeHolesCave_BartonRoberts1996_AR_na_1,TS1_Cres_GBS_ThreeHolesCave_BartonRoberts1996_AR_na_1_pseudo_no_1,0.006755,1,1,-3.667295,50.49312,6.17,1.58,6.86,13.33,6.17,2.38,0.1,0.499253988757462,2.08786151450755,2.58711550326502,0.192977077415905,14146,13795,14776,GI-1
